RANK                PLAYER NAME                                                                                                                        POS                                       TIER                                   30DT,,,,,,,,,,,,,,,,,,VALUE,,,,
,43             Jayden Reed,,,,,,,,,,,WR43,,Tier 9,,11,,,3500,,,
,44             Terry  McLaurin,,,,,,,,,,,WR44,,Tier 9,,3,,,3450,,,
,45             Denzel Boston   R,,,,,,,,,,,WR45,,Tier 9,,4,,,3450,,,
,46             Jayden Higgins,,,,,,,,,,,WR46,,Tier 9,,4,,,3442,,,
,47             Davante Adams,,,,,,,,,,,WR47,,Tier 9,,2,,,3421,,,
,48             Michael Pittman,,,,,,,,,,,WR48,,Tier 9,,4,,,3388,,,
,49             Xavier Worthy,,,,,,,,,,,WR49,,Tier 9,,1,,,3373,,,
,50             Travis Hunter,,,,,,,,,,,WR50,,Tier 9,,14,,,3325,,,
,51             Romeo Doubs,,,,,,,,,,,WR51,,Tier 9,,12,,,3315,,,
,52             Quentin Johnston,,,,,,,,,,,WR52,,Tier 9,,2,,,3308,,,
,53             Mike Evans,,,,,,,,,,,WR53,,Tier 9,,2,,,3295,,,
,,,,,,,,,,,,,,,,,,,,,,
,54             Courtland Sutton,,,,,,,,,,,WR54,,Tier 10,,1,,,3202,,,
,55             Jakobi Meyers,,,,,,,,,,,WR55,,Tier 10,,3,,,3200,,,
,,,,,,,,,,,,,,,,,,,,,,
,56             Jalen Coker,,,,,,,,,,,WR56,,Tier 11,,1,,,3076,,,
,57             Khalil Shakir,,,,,,,,,,,WR57,,Tier 11,,2,,,3030,,,
,58             Jalen McMillan,,,,,,,,,,,WR58,,Tier 11,,2,,,2994,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,59,,,Chris Bell,R,,,WR59,,,,,,Tier 11,,39,,,2987,,,
,60             Chris Godwin,,,,,,,,,,WR60,,,Tier 11,,0,,,2971,,,
,61             Rashid Shaheed,,,,,,,,,,WR61,,,Tier 11,,3,,,2958,,,
,62             Germie Bernard,,,,,,,R,,,WR62,,,Tier 11,,49,,,2909,,,
,63             Kayshon Boutte,,,,,,,,,,WR63,,,Tier 12,,2,,,2810,,,
,64             Jauan Jennings,,,,,,,,,,WR64,,,Tier 12,,4,,,2796,,,
,65             Elijah Sarratt   R,,,,,,,,,,WR65,,,Tier 12,,14,,,2783,,,
,66             Isaac TeSlaa,,,,,,,,,,WR66,,,Tier 12,,3,,,2779,,,
,67             Jaylin Noel,,,,,,,,,,WR67,,,Tier 12,,2,,,2759,,,
,68             Tre Harris,,,,,,,,,,WR68,,,Tier 12,,6,,,2735,,,
,69             Troy  Franklin,,,,,,,,,,WR69,,,Tier 12,,3,,,2720,,,
,70             Elic Ayomanor,,,,,,,,,,WR70,,,Tier 12,,6,,,2671,,,
,71             Tory  Horton,,,,,,,,,,WR71,,,Tier 12,,0,,,2660,,,
,72             Jerry  Jeudy,,,,,,,,,,WR72,,,Tier 12,,2,,,2659,,,
73             Chris Brazzell II   R,,,,,,,,,,,,,WR73                           Tier 12                                   16,,,,,,,2638,,
,,,,,,,,,,,,,,,,,,,,,,
,74             Antonio Williams,,,,,,,,R,,WR74,,,Tier 12,,65,,,2635,,,
,75             Pat Bryant,,,,,,,,,,WR75,,,Tier 12,,8,,,2616,,,
,76             Zachariah Branch,,,,,,,,R,,WR76,,,Tier 12,,20,,,2605,,,
,77             Malachi Fields   R,,,,,,,,,,WR77,,,Tier 12,,24,,,2596,,,
,78             Dontayvion Wicks,,,,,,,,,,WR78,,,Tier 12,,5,,,2580,,,
,79             Chimere Dike,,,,,,,,,,WR79,,,Tier 12,,7,,,2553,,,
,80             Tre Tucker,,,,,,,,,,WR80,,,Tier 12,,0,,,2524,,,
,81             Malik Washington,,,,,,,,,,WR81,,,Tier 12,,4,,,2493,,,
,82             Adonai Mitchell,,,,,,,,,,WR82,,,Tier 12,,13,,,2484,,,
,83             Keon Coleman,,,,,,,,,,WR83,,,Tier 12,,9,,,2482,,,
,84             Kyle Williams,,,,,,,,,,WR84,,,Tier 12,,11,,,2448,,,
,85             Skyler Bell   R,,,,,,,,,,WR85,,,Tier 12,,50,,,2432,,,
,86             Jack Bech,,,,,,,,,,WR86,,,Tier 12,,5,,,2427,,,
,87             Tank Dell,,,,,,,,,,WR87,,,Tier 12,,11,,,2422,,,
,88             Brandon Aiyuk,,,,,,,,,,WR88,,,Tier 12,,13,,,2406,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
89             Ja'Kobi Lane   R,,,,,,,WR89                           Tier 13                                   24,,,,,,,,,,,2336,,,,
90             Deebo Samuel                                                                                          WR90                           Tier 13                                   12,,,,,,,,,,,,,,,,,,2298,,,,
91             Jalen Nailor                                                                                               WR91                           Tier 13                                    7,,,,,,,,,,,,,,,,,2279,,,,,
92             Marvin Mims                                                                                             WR92                           Tier 14                                   10,,,,,,,,,,,,,,,,,,2209,,,,
93             Stefon Diggs                                                                                             WR93                           Tier 14                                    5,,,,,,,,,,,,,,,,,2172,,,,,
94             Tez Johnson                                                                                              WR94                           Tier 14                                    8,,,,,,,,,,,,,,,,,2138,,,,,
95             Darnell Mooney                                                                                        WR95                           Tier 14                                    3,,,,,,,,,,,,,,,,,2135,,,,,
96             Dont'e Thornton                                                                                       WR96                           Tier 14                                    6,,,,,,,,,,,,,,,,,2089,,,,,
97             Tyreek Hill                                                                                                 WR97                           Tier 14                                   10,,,,,,,,,,,,,,,,,,2085,,,,
98             Isaiah Bond                                                                                               WR98                           Tier 14                                   13,,,,,,,,,,,,,,,,,,2077,,,,
,,99             Rashod Bateman                                                                                      WR99                           Tier 14                                    4,,,,,,,,,,,,,,,2076,,,,,
100,,,Christian Kirk                                                                                           WR100                          Tier 14                                    3,,,,,,,,,,,,,,2061,,,,,
101,,,Demario Douglas                                                                                     WR101                          Tier 14                                   10,,,,,,,,,,,,,,,2023,,,,
102,,,Cedric Tillman                                                                                          WR102                          Tier 14                                    8,,,,,,,,,,,,,,1974,,,,,
103,,,Xavier Legette                                                                                          WR103                          Tier 14                                   10,,,,,,,,,,,,,,,1969,,,,
104,,,Ted Hurst   R,,,WR104                          Tier 14                                   55,,,,,,,,,,,,1966,,,,
105,,,Jaylin Lane                                                                                               WR105                          Tier 14                                   0,,,,,,,,,,,,,,1928,,,,,
106,,,Calvin Ridley                                                                                            WR106                          Tier 14                                    3,,,,,,,,,,,,,,1907,,,,,
107,,,Jalen Tolbert                                                                                            WR107                          Tier 14                                    7,,,,,,,,,,,,,,1872,,,,,
108,,,De'Zhaun Stribling   R,,,,,,,WR108                          Tier 14,,,,,169,,,1851,,,,
109,,,Cooper Kupp                                                                                            WR109                          Tier 14                                    3,,,,,,,,,,,,,,1827,,,,,
110,,,Jalen Royals                                                                                            WR110                          Tier 14                                    6,,,,,,,,,,,,,,1807,,,,,
,,111,Tyquan Thornton                                                                                     WR111                          Tier 14                                    9,,,,,,,,,,,,,,1776,,,,,
112,,,Marquise Brown                                                                                      WR112                          Tier 14                                   12,,,,,,,,,,,,,,,1762,,,,
113,,,Xavier Hutchinson                                                                                   WR113                          Tier 14                                    5,,,,,,,,,,,,,,1755,,,,,
114,,,Ryan Flournoy                                                                                         WR114                          Tier 14                                   15,,,,,,,,,,,,,,,1744,,,,
115,,,Luke McCaffrey                                                                                        WR115                          Tier 14                                    6,,,,,,,,,,,,,,1705,,,,,
116,,,Jahan Dotson                                                                                           WR116                          Tier 14                                    9,,,,,,,,,,,,,,1701,,,,,
117,,,Savion Williams                                                                                       WR117                          Tier 14                                    6,,,,,,,,,,,,,,1692,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,118            Kevin Coleman   R,,,,,,,,,,,WR118,,Tier 14,,28,,,1679,,,
,119            Tutu Atwell,,,,,,,,,,,WR119,,Tier 14,,1,,,1656,,,
,120            Roman Wilson,,,,,,,,,,,WR120,,Tier 14,,3,,,1655,,,
,121            Andrei Iosivas,,,,,,,,,,,WR121,,Tier 14,,5,,,1647,,,
,122            Joshua Palmer,,,,,,,,,,,WR122,,Tier 14,,5,,,1635,,,
,123            Treylon Burks,,,,,,,,,,,WR123,,Tier 14,,2,,,1609,,,
,124            Devaughn Vele,,,,,,,,,,,WR124,,Tier 14,,12,,,1579,,,
,125            KeAndre Lambert-Smith,,,,,,,,,,,WR125,,Tier 14,,4,,,1576,,,
,126            Jimmy  Horn,,,,,,,,,,,WR126,,Tier 14,,7,,,1566,,,
,127            John Metchie,,,,,,,,,,,WR127,,Tier 14,,17,,,1563,,,
,128            Tahj Washington,,,,,,,,,,,WR128,,Tier 14,,9,,,1548,,,
,129            Darius Slayton,,,,,,,,,,,WR129,,Tier 14,,3,,,1538,,,
,130            Jordan Whittington,,,,,,,,,,,WR130,,Tier 14,,6,,,1533,,,
,131            Keenan Allen,,,,,,,,,,,WR131,,Tier 14,,16,,,1507,,,
,132            Calvin Austin III,,,,,,,,,,,WR132,,Tier 14,,14,,,1494,,,
,133            Kendrick Bourne,,,,,,,,,,,WR133,,Tier 14,,4,,,1468,,,
,134            Dyami Brown,,,,,,,,,,,WR134,,Tier 14,,0,,,1429,,,
,135            Ja'Lynn Polk,,,,,,,,,,,WR135,,Tier 14,,13,,,1425,,,
,136            Konata Mump?eld,,,,,,,,,,,WR136,,Tier 14,,8,,,1412,,,
,137            Devontez Walker,,,,,,,,,,,WR137,,Tier 14,,4,,,1373,,,
,138            Xavier Restrepo,,,,,,,,,,,WR138,,Tier 14,,7,,,1338,,,
,139            Efton Chism,,,,,,,,,,,WR139,,Tier 14,,9,,,1305,,,
,140            Jalin Hyatt,,,,,,,,,,,WR140,,Tier 14,,2,,,1296,,,
,141            Elijah Moore,,,,,,,,,,,WR141,,Tier 14,,3,,,1288,,,
,142            Tai Felton,,,,,,,,,,,WR142,,Tier 14,,6,,,1271,,,
,143            Olamide Zaccheaus,,,,,,,,,,,WR143,,Tier 14,,11,,,1267,,,
,144            Greg Dortch,,,,,,,,,,,WR144,,Tier 14,,1,,,1247,,,
,145            Malachi Corley,,,,,,,,,,,WR145,,Tier 14,,4,,,1231,,,
,146            Kameron Johnson,,,,,,,,,,,WR146,,Tier 14,,3,,,1221,,,
,147            Brenen Thompson   R,,,,,,,,,,,WR147,,Tier 14,,132,,,1219,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,148            Trey  Palmer,,,,,,,,,,,WR148,,Tier 14,,5,,,1218,,,
,149            KaVontae Turpin,,,,,,,,,,,WR149,,Tier 14,,9,,,1202,,,
,150            Mack Hollins,,,,,,,,,,,WR150,,Tier 14,,8,,,1192,,,
,151            Zavion Thomas,,,,,,,R,,,,WR151,,Tier 14,,127,,,1151,,,
,152            Gabriel Davis,,,,,,,,,,,WR152,,Tier 14,,5,,,1135,,,
,153            Jake Bobo,,,,,,,,,,,WR153,,Tier 14,,5,,,1120,,,
,154            Javon Baker,,,,,,,,,,,WR154,,Tier 14,,2,,,1103,,,
,155            Jonathan Mingo,,,,,,,,,,,WR155,,Tier 14,,4,,,1098,,,
,156            Jordan Watkins,,,,,,,,,,,WR156,,Tier 14,,1,,,1085,,,
,157            Jacob Cowing,,,,,,,,,,,WR157,,Tier 14,,3,,,1075,,,
,158            Bryce Lance   R,,,,,,,,,,,WR158,,Tier 14,,115,,,1043,,,
,159            Arian Smith,,,,,,,,,,,WR159,,Tier 14,,2,,,1026,,,
,160            Tyrell Shavers,,,,,,,,,,,WR160,,Tier 14,,10,,,1020,,,
,161            Bo Melton,,,,,,,,,,,WR161,,Tier 14,,8,,,1014,,,
,162            Mason Tipton,,,,,,,,,,,WR162,,Tier 14,,2,,,1008,,,
,163            Deion Burks   R,,,,,,,,,,,WR163,,Tier 14,,4,,,1008,,,
,164            Lil'Jordan Humphrey,,,,,,,,,,,WR164,,Tier 14,,8,,,1006,,,
,165            Isaiah Hodgins,,,,,,,,,,,WR165,,Tier 14,,4,,,985,,,
,166            Sky y  Moore,,,,,,,,,,,WR166,,Tier 14,,8,,,979,,,
,167            Tyler Scott,,,,,,,,,,,WR167,,Tier 14,,3,,,965,,,
,168            Nick Westbrook-Ikhine,,,,,,,,,,,WR168,,Tier 14,,6,,,962,,,
,169            Demarcus Robinson,,,,,,,,,,,WR169,,Tier 14,,0,,,944,,,
,170            David Bell,,,,,,,,,,,WR170,,Tier 14,,20,,,944,,,
,171            Jamari Thrash,,,,,,,,,,,WR171,,Tier 14,,5,,,924,,,
,172            Xavier Gipson,,,,,,,,,,,WR172,,Tier 14,,7,,,904,,,
,173            Bub Means,,,,,,,,,,,WR173,,Tier 14,,5,,,863,,,
,174            Ainias Smith,,,,,,,,,,,WR174,,Tier 14,,2,,,830,,,
,175            Tyler Johnson,,,,,,,,,,,WR175,,Tier 14,,12,,,820,,,
,176            Caleb Douglas   R,,,,,,,,,,,WR176,,Tier 14,,104,,,814,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,178,,,CJ Daniels,R,,,,,,,WR178,,Tier 16,,8,,,577,,,
,179            Noah Brown,,,,,,,,,,,WR179,,Tier 16,,2,,,530,,,
,180            DeAndre Hopkins,,,,,,,,,,,WR180,,Tier 16,,9,,,525,,,
,181            Johnny  Wilson,,,,,,,,,,,WR181,,Tier 16,,6,,,523,,,
,182            Van Jefferson,,,,,,,,,,,WR182,,Tier 16,,2,,,518,,,
,183            JuJu Smith-Schuster,,,,,,,,,,,WR183,,Tier 16,,9,,,516,,,
,184            Curtis Samuel,,,,,,,,,,,WR184,,Tier 16,,5,,,514,,,
,185            Brandin Cooks,,,,,,,,,,,WR185,,Tier 16,,9,,,514,,,
,186            Jermaine Burton,,,,,,,,,,,WR186,,Tier 16,,1,,,514,,,
,187            Derius Davis,,,,,,,,,,,WR187,,Tier 16,,3,,,512,,,
,188            Zay  Jones,,,,,,,,,,,WR188,,Tier 16,,10,,,511,,,
,,,,,,,,,,,,,,,,,,,,,,
